Nombre,Club,Minutos,Goles,Asistencias,Amarillas,Rojas
Joseph Aidoo,Celta Vigo,2502,0,1,4,0
Jordi Alba,Barcelona,2187,2,5,7,0
Carles Alenha,Barcelona,172,0,0,0,0
Sergio Alvarez,Celta Vigo,180,0,0,3,0
Nestor Araujo,Celta Vigo,2888,1,2,10,0
Ronald Araujo,Barcelona,238,0,0,0,1
Alphonse Areola,Real Madrid,360,0,0,1,0
Marco Asensio,Real Madrid,336,3,1,0,0
Iago Aspas,Celta Vigo,3262,14,3,9,0
Gareth Bale,Real Madrid,1089,2,2,4,1
Fran Beltran,Celta Vigo,1830,1,0,2,1
Karim Benzema,Real Madrid,3141,21,8,0,0
Sergio Bermejo,Celta Vigo,5,0,0,0,0
Ruben Blanco,Celta Vigo,2960,0,0,4,0
Filip Bradaric,Celta Vigo,706,0,0,2,1
Martin Braithwaite,Barcelona,407,1,0,1,0
Sergio Busquets,Barcelona,2483,2,2,9,0
Dani Carvajal,Real Madrid,2738,1,5,11,0
Casemiro,Real Madrid,3088,4,3,12,0
Pape Cheikh Diop,Celta Vigo,599,0,1,5,1
Alex Collado,Barcelona,6,0,0,0,0
David Costas,Celta Vigo,338,0,0,1,0
Thibaut Courtois,Real Madrid,3060,0,0,1,0
Ousmane Dembele,Barcelona,357,1,0,1,1
Brahim Diaz,Real Madrid,65,0,0,1,0
Ansu Fati,Barcelona,1027,7,1,2,1
Gabriel Fernandez,Celta Vigo,561,1,1,5,1
Junior Firpo,Barcelona,1014,1,1,5,0
Antoine Griezmann,Barcelona,2549,9,4,2,0
Eden Hazard,Real Madrid,1077,1,3,0,0
Juan Hernandez,Celta Vigo,87,0,0,0,0
Isco,Real Madrid,1181,1,2,2,0
Jacobo,Celta Vigo,83,0,0,1,0
Frenkie de Jong,Barcelona,2115,2,2,3,1
Luka Jovic,Real Madrid,430,2,1,2,0
David Junca,Celta Vigo,258,0,0,1,0
Vinicius Junior,Real Madrid,1364,3,1,4,0
Toni Kroos,Real Madrid,2652,4,5,2,0
Clement Lenglet,Barcelona,2424,2,1,11,2
Stanislav Lobotka,Celta Vigo,1383,0,0,1,0
Iker Losada,Celta Vigo,13,1,0,0,0
Hugo Mallo,Celta Vigo,1965,0,1,7,0
Marcelo,Real Madrid,1296,1,2,2,0
Mariano,Real Madrid,45,1,0,1,0
Arthur Melo,Barcelona,1182,3,3,1,0
Brais Mendez,Celta Vigo,1477,0,2,4,0
Ferland Mendy,Real Madrid,1809,1,3,8,1
Lionel Messi,Barcelona,2880,25,21,4,0
Eder Militao,Real Madrid,1022,0,0,3,0
Santi Mina,Celta Vigo,1944,6,3,4,0
Luka Modric,Real Madrid,1996,3,7,7,1
Jeison Murillo,Celta Vigo,1529,1,0,5,0
Nacho,Real Madrid,439,1,0,3,0
Neto,Barcelona,180,0,0,0,0
Nolito,Celta Vigo,324,2,1,3,1
Alvaro Odriozola,Real Madrid,343,0,1,3,1
Lucas Olaza,Celta Vigo,3144,1,3,5,0
Carles Perez,Barcelona,476,1,2,0,0
Gerard Pique,Barcelona,3092,1,0,15,0
Riqui Puig,Barcelona,510,0,2,1,0
Rafinha,Barcelona,186,0,0,0,0
Rafinha,Celta Vigo,2111,4,1,5,0
Ivan Rakitic,Barcelona,1589,1,3,5,0
Sergio Ramos,Real Madrid,3013,11,0,10,0
Sergi Roberto,Barcelona,2339,1,2,8,0
James Rodriguez,Real Madrid,419,1,1,1,0
Mario Rodriguez,Granada,2,0,0,0,0
Rodrygo,Real Madrid,1019,2,0,0,0
Jorge Saenz,Celta Vigo,371,0,0,3,1
Nelson Semedo,Barcelona,2097,1,2,2,0
Pione Sisto,Celta Vigo,891,2,0,2,0
Fyodor Smolov,Celta Vigo,743,2,0,4,0
Denis Suarez,Celta Vigo,1630,1,5,2,0
Luis Suarez,Barcelona,1998,16,8,4,0
Marc-Andre ter Stegen,Barcelona,3240,0,2,1,0
Jean-Clair Todibo,Barcelona,77,0,0,0,0
Samuel Umtiti,Barcelona,949,0,0,6,0
Federico Valverde,Real Madrid,1907,2,5,1,0
Raphael Varane,Real Madrid,2822,3,1,2,0
Kevin Vazquez,Celta Vigo,1325,0,0,6,0
Lucas Vazquez,Real Madrid,848,2,1,1,0
Arturo Vidal,Barcelona,1671,8,2,4,0
Ivan Villar,Celta Vigo,280,0,0,0,0
Moussa Wague,Barcelona,90,0,0,0,0
Okay Yokuslu,Celta Vigo,1973,0,2,6,0
